day_of_the_week,AFHL IT Equity,AFPR IT Equity,AFRE IT Equity,ALHE IT Equity,ALRPR IT Equity,AMOT IT Equity,ARD IT Equity,ARKO IT Equity,ARPT IT Equity,ASHG IT Equity,ASPR IT Equity,AVNRL IT Equity,AZRG IT Equity,BCOM IT Equity,BIG IT Equity,BLSR IT Equity,BTX IT Equity,BYSD IT Equity,CEL IT Equity,CGEN IT Equity,CLIS IT Equity,CRNT IT Equity,DANE IT Equity,DEDRL IT Equity,DELT IT Equity,DIFI IT Equity,DIMRI IT Equity,DISI IT Equity,DLEA IT Equity,DLEKG IT Equity,DRAL IT Equity,DSCT IT Equity,DXIL IT Equity,ECJM IT Equity,ECP IT Equity,ELAL IT Equity,ELCO IT Equity,ELTR IT Equity,ENRG IT Equity,EQTL IT Equity,ESLT IT Equity,FBRT IT Equity,FIBI IT Equity,FORTY IT Equity,FOX IT Equity,FRUT IT Equity,FTIN IT Equity,GILT IT Equity,GZT IT Equity,HAML IT Equity,HAP IT Equity,HARL IT Equity,HLAN IT Equity,HLDSL IT Equity,IBLD IT Equity,ICL IT Equity,IDIN IT Equity,IGLD IT Equity,ILCO IT Equity,INRM IT Equity,ISRAL IT Equity,ISRS IT Equity,ISTA IT Equity,JOEL IT Equity,KEN IT Equity,KLIL IT Equity,KMDA IT Equity,KRUR IT Equity,LPSN IT Equity,LUMI IT Equity,LVPR IT Equity,MDTR IT Equity,MGDL IT Equity,MGIC IT Equity,MGOR IT Equity,MISH IT Equity,MLSR IT Equity,MLTM IT Equity,MMHD IT Equity,MNKD IT Equity,MTDS IT Equity,MTRN IT Equity,MTRX IT Equity,MYL IT Equity,MZOR IT Equity,MZTF IT Equity,NAWI IT Equity,NFTA IT Equity,NICE IT Equity,NSTR IT Equity,NTO IT Equity,NVMI IT Equity,ONE IT Equity,OPK IT Equity,ORA IT Equity,ORL IT Equity,PHOE1 IT Equity,PLRM IT Equity,PLSN IT Equity,POLI IT Equity,PRGO IT Equity,PTBL IT Equity,PTNR IT Equity,PZOL IT Equity,RATIL IT Equity,RDHL IT Equity,RIT1 IT Equity,RMLI IT Equity,SAE IT Equity,SALG IT Equity,SCOP IT Equity,SKBN IT Equity,SLARL IT Equity,SMT IT Equity,SODA IT Equity,SPEN IT Equity,SPNS IT Equity,SPNTC IT Equity,STRS IT Equity,TDRN IT Equity,TEVA IT Equity,TSEM IT Equity,UNON IT Equity,VILR IT Equity,ZUR IT Equity
5,6392,5296,4783,2520.01,7173,1130.72,3124,74.7,3270.94,873.4,873.9,275.6,12840,6852,16150,11760,#N/A,102500,3269,3247,5589,407.7,11190,1446,10700,2000,3641,787.3,3584,98920,3166,615,617700,1250,1774,74.3,2343,42740,241.9,5541,23670,5922,5646,8813,9159,11920,5000,1815.64,4588,3117,6803,1814,2699,2429,341.13,2848,13540,2635,133993.48,742.9,65.71,19930,3399,12300,#N/A,25060,1503,6090,5519,1345,3151,391.6,474,2306,1461,9293,10870,8470,3382,#N/A,1120,775.15,1748,#N/A,2433,4070,2034,1948,19610,9149,18590,4045,7960,3929,#N/A,107,1060,1401,13110,1821,64130,19880,1954,51400,268,509.6,962.9,14680,830.7,1452,3989,823,592.3,1326,#N/A,580,2815.93,823.3,5800,2190,22270,5185,1309,5952,719.8
1,6357,5437,4880,2518.09,7171,1127.81,3193,73.9,3253.71,877.9,879.4,268.5,12850,6513,15900,11750,#N/A,101700,3019,3384,5436,399,11300,1411,10640,2017,3721,781,3547,97350,3200,621.5,626000,1238,1772,76.5,2371,41930,247.4,5477,24020,5916,5731,8844,9172,12080,4983,1832.43,4595,3127,6892,1802,2758,2382,342.19,2875,13560,2567,134473.01,750.4,65.51,19930,3399,12090,#N/A,25410,1593,6081,5241,1344,3197,394.8,467.1,2305,1477,9029,10790,8470,3324,#N/A,1110,773.34,1752,#N/A,2382,4035,2048,1916,19740,9116,18890,4099,8056,3911,#N/A,107.6,1067,1402,13070,1802,65380,20010,1820,51730,262.4,540.4,961.7,14680,848.3,1479,3994,814.6,595.8,1315,#N/A,560.5,2815.93,842.3,5813,2190,22070,5223,1322,5889,730.1
2,6422,5332,4881,2442.1,7140,1118.11,3149,75.1,3170.43,875.7,868.2,257.7,12760,6618,15560,11490,#N/A,100000,2891,3444,5384,400.5,11090,1353,10660,2002,3715,749.6,3479,94430,3200,622,625800,1179,1743,78.6,2339,41280,244.8,5312,24850,5866,5623,8812,9010,12400,4913,1832.43,4614,3067,6855,1783,2747,2375,343.78,2861,13630,2585,132828.92,743.8,65.03,19450,3399,11640,#N/A,25320,1715,5895,5334,1336,3135,390.8,460.9,2335,1479,8869,10360,9010,3253,#N/A,1073,771.72,1734,#N/A,2375,3990,2029,1871,19730,9052,18810,4136,8073,3975,#N/A,103.7,1092,1411,12990,1785,65530,19800,1730,50590,248.8,574.6,961.4,14540,829.8,1446,3943,795,589.6,1294,#N/A,568.6,2818.89,837.8,5759,2200,22030,5209,1303,5822,712
3,6422,5240,4976,2457.49,7198,1120.05,3142,77.9,3109.16,862.8,852.5,256.6,12660,6550,15300,11610,#N/A,99970,2833,3482,5345,402.2,11120,1375,10450,1999,3695,729.1,3547,93980,3340,629.5,625500,1143,1692,85,2310,40390,242.7,5294,24440,5861,5584,8817,8818,12660,4946,1803.78,4583,3056,6818,1767,2691,2384,347.86,2855,13580,2530,129129.71,733.6,66.39,19430,3348,11760,#N/A,24970,1750,5847,5046,1349,3132,391.4,461.1,2352,1479,8823,10410,9010,3236,#N/A,1071,759.89,1713,#N/A,2260,4145,2002,1894,19490,8936,18940,4052,7974,3989,#N/A,103.9,1112,1412,13040,1794,65560,19890,1650,50250,246.4,586.5,950.5,14420,804.4,1426,3946,802.4,582.9,1286,#N/A,568.9,2773.61,839.9,5732,2246,21780,5110,1286,5690,697.5
4,6435,5168,5121,2484.43,7232,1107.43,3176,78.9,3113.95,865.2,852.8,249.3,12510,6466,15430,11640,#N/A,100200,2775,3414,5373,399.3,11300,1344,10680,2002,3692,722.4,3549,91450,3372,629.3,629700,1127,1724,78.8,2357,41090,241.3,5334,24220,6025,5628,8832,8948,12520,4955,1779.09,4601,3086,6994,1761,2682,2408,346.79,2871,13410,2462,136802.14,740.1,66.97,19400,3320,11730,#N/A,24850,1671,5808,5017,1340,3124,391.6,464.3,2369,1479,8911,10290,9023,3272,#N/A,1070,769.05,1728,#N/A,2182,4176,2013,1915,19300,8903,19260,4032,8017,3993,#N/A,105,1110,1437,13140,1814,65970,19800,1642,49360,241.6,557.3,951.5,15090,807.5,1416,3958,809.4,579.9,1291,#N/A,567.3,2739.16,853.7,5583,2246,22410,4991,1321,5638,704.8
5,6602,5259,5303,2491.16,7236,1131.7,3236,83,3139.8,860.3,869.1,258.7,12510,6358,15650,11850,#N/A,100400,2739,3517,5417,400.1,11400,1380,10890,2003,3791,736.3,3531,95750,3391,629.3,645400,1212,1731,76.9,2375,41520,237.7,5409,23900,6112,5661,8900,9147,12410,4946,1793.9,4607,3128,7109,1795,2762,2458,361.85,2840,13560,2380,135980.09,749.9,67.75,19340,3398,12110,#N/A,25480,1616,5813,4996,1325,3181,399,465,2396,1495,9493,10420,9082,3319,#N/A,1061,773.72,1733,#N/A,2165,4230,2022,1962,19620,8981,19360,4140,8288,3940,#N/A,107.3,1111,1445,13430,1829,67050,20150,1600,49260,250.4,549.6,960.9,16050,818.6,1433,4014,816.5,586.2,1297,#N/A,565.6,2766.72,861,5647,2246,22990,5090,1324,5614,712.3
1,6980,5188,5383,2480.58,7221,1126.84,3230,85,3113.95,875.6,872.8,258,12620,6373,15390,11850,#N/A,100600,2692,3606,5324,392.3,11520,1365,11190,2005,3789,727.7,3537,94100,3550,630.5,654500,1189,1731,79.4,2376,41420,235.5,5353,24300,6094,5623,8998,9024,12270,4942,1782.05,4644,3142,7148,1778,2796,2514,354.32,2830,13590,2337,140000,750,67.36,19420,3424,12010,6017.09,26260,1656,5752,4862,1333,3187,407.5,469.5,2395,1522,9561,10410,9082,3310,#N/A,1067,771.05,1743,#N/A,2182,4186,2031,1936,19870,9079,19710,4400,8292,3995,#N/A,106.1,1116,1445,13420,1813,66860,20470,1572,48950,250.4,554.3,964,16030,818.1,1488,4014,805.2,590.1,1314,#N/A,567.5,2734.24,863.5,5633,2246,22420,5289,1313,5612,712.3
2,6900,5292,5545,2458.46,7221,1131.7,3250,87,3118.74,956.2,896.3,248.9,12580,6387,15300,11880,#N/A,101700,2622,3640,5369,394.1,11890,1324,11050,2023,3859,719.9,3569,91800,3651,637,658100,1171,1743,78.5,2418,41130,229.6,5307,24350,6075,5679,9063,8910,11700,4924,1798.84,4784,3173,7144,1772,2800,2478,342.9,2864,13600,2284,139600,758.5,65.81,19460,3500,11920,6407.03,26810,1629,5762,4845,1315,3188,408.5,456.3,2392,1540,9652,10340,9082,3319,#N/A,1061,782.59,1744,#N/A,2178,4277,2061,1900,19570,9305,19680,4500,8337,4022,#N/A,106.4,1124,1452,13460,1830,66630,20530,1510,49860,248.8,557.7,962.4,16300,820.1,1501,4049,808.2,592.6,1328,#N/A,570.4,2736.21,864.2,5577,2246,22570,5300,1314,5643,712.9
3,6901,5296,5746,2468.07,7289,1149.17,3254,86.2,3190.53,945,916.9,255,12700,6231,15420,12150,#N/A,104400,2490,3721,5516,390,11950,1351,11350,2060,3922,706,3604,93000,3650,630,655400,1207,1743,75.8,2417,41970,228,5402,24210,6002,5702,9018,8980,11900,4940,1824.53,4835,3242,7065,1800,2798,2504,333.33,2889,13750,2202,140700,758.1,67.56,19350,3504,12180,6095.23,26700,1643,5858,5010,1338,3160,407.9,459.9,2389,1551,9488,10440,9082,3362,#N/A,1087,816.63,1757,#N/A,2145,4340,2108,1944,19800,9626,19950,4517,8566,4104,#N/A,110.6,1112,1450,13770,1827,67000,20620,1401,50620,253.6,596.5,974.3,16920,849.3,1502,4110,813.3,595.6,1329,#N/A,561.8,2754.91,864.2,5690,2246,22800,5445,1314,5780,721.1
4,6549,5173,5828,2473.85,7278,1137.52,3264,85,3206.8,946.2,908.4,254.3,12770,6412,15240,11960,#N/A,104800,2379,3618,5450,383.8,11920,1339,11180,2050,3905,681.1,3700,93930,3650,628.4,655600,1155,1713,74.1,2371,42050,216.7,5318,24680,5969,5668,9017,9022,12090,4978,1807.73,4871,3308,7049,1768,2802,2445,327.84,2870,13800,2219,139400,757.2,66.88,19350,3513,12130,5860.8,26690,1573,5765,4911,1338,3171,409.5,461.4,2362,1480,9394,10660,9082,3323,#N/A,1086,829.03,1733,#N/A,2073,4354,2088,1946,19720,9529,19490,4317,8338,4002,#N/A,109,1087,1451,13860,1820,64130,20240,1344,51250,246.4,570.8,978.6,17050,871,1505,4108,796.4,596.9,1290,#N/A,561.5,2692.9,880.6,5670,2246,22320,5291,1303,5809,734.8
