day_of_the_week,AFHL IT Equity,AFPR IT Equity,AFRE IT Equity,ALHE IT Equity,ALRPR IT Equity,AMOT IT Equity,ARD IT Equity,ARKO IT Equity,ARPT IT Equity,ASHG IT Equity,ASPR IT Equity,AVNRL IT Equity,AZRG IT Equity,BCOM IT Equity,BIG IT Equity,BLSR IT Equity,BTX IT Equity,BYSD IT Equity,CEL IT Equity,CGEN IT Equity,CLIS IT Equity,CRNT IT Equity,DANE IT Equity,DEDRL IT Equity,DELT IT Equity,DIFI IT Equity,DIMRI IT Equity,DISI IT Equity,DLEA IT Equity,DLEKG IT Equity,DRAL IT Equity,DSCT IT Equity,DXIL IT Equity,ECJM IT Equity,ECP IT Equity,ELAL IT Equity,ELCO IT Equity,ELTR IT Equity,ENRG IT Equity,EQTL IT Equity,ESLT IT Equity,FBRT IT Equity,FIBI IT Equity,FORTY IT Equity,FOX IT Equity,FRUT IT Equity,FTIN IT Equity,GILT IT Equity,GZT IT Equity,HAML IT Equity,HAP IT Equity,HARL IT Equity,HLAN IT Equity,HLDSL IT Equity,IBLD IT Equity,ICL IT Equity,IDIN IT Equity,IGLD IT Equity,ILCO IT Equity,INRM IT Equity,ISRAL IT Equity,ISRS IT Equity,ISTA IT Equity,JOEL IT Equity,KEN IT Equity,KLIL IT Equity,KMDA IT Equity,KRUR IT Equity,LPSN IT Equity,LUMI IT Equity,LVPR IT Equity,MDTR IT Equity,MGDL IT Equity,MGIC IT Equity,MGOR IT Equity,MISH IT Equity,MLSR IT Equity,MLTM IT Equity,MMHD IT Equity,MNKD IT Equity,MTDS IT Equity,MTRN IT Equity,MTRX IT Equity,MYL IT Equity,MZOR IT Equity,MZTF IT Equity,NAWI IT Equity,NFTA IT Equity,NICE IT Equity,NSTR IT Equity,NTO IT Equity,NVMI IT Equity,ONE IT Equity,OPK IT Equity,ORA IT Equity,ORL IT Equity,PHOE1 IT Equity,PLRM IT Equity,PLSN IT Equity,POLI IT Equity,PRGO IT Equity,PTBL IT Equity,PTNR IT Equity,PZOL IT Equity,RATIL IT Equity,RDHL IT Equity,RIT1 IT Equity,RMLI IT Equity,SAE IT Equity,SALG IT Equity,SCOP IT Equity,SKBN IT Equity,SLARL IT Equity,SMT IT Equity,SODA IT Equity,SPEN IT Equity,SPNS IT Equity,SPNTC IT Equity,STRS IT Equity,TDRN IT Equity,TEVA IT Equity,TSEM IT Equity,UNON IT Equity,VILR IT Equity,ZUR IT Equity
1,-0.005475594493116395,0.026623867069486405,0.02028015889609032,-0.0007619017384851935,-0.00027882336539802036,-0.0025735814348380515,0.02208706786171575,-0.010709504685408261,-0.005267598916519416,0.005152278452026563,0.006293626273028951,-0.025761973875181504,0.000778816199376947,-0.04947460595446585,-0.015479876160990712,-0.0008503401360544217,NA,-0.007804878048780488,-0.07647598654022637,0.04219279334770557,-0.027375201288244767,-0.021339220014716675,0.009830205540661306,-0.024204702627939143,-0.005607476635514018,0.0085,0.021971985718209283,-0.008002032262161762,-0.010323660714285714,-0.015871411241407198,0.010739102969046115,0.01056910569105691,0.013436943500080945,-0.0096,-0.0011273957158962795,0.029609690444145395,0.01195049082373026,-0.018951801591015442,0.02273666804464655,-0.011550261685616315,0.014786649767638362,-0.0010131712259371835,0.015054906128232378,0.003517530920231476,0.0014193689267387268,0.013422818791946308,-0.0034,0.009247427904210065,0.0015257192676547515,0.003208213025344883,0.013082463618991621,-0.006615214994487321,0.021859948128936643,-0.019349526554137506,0.0031073197901093494,0.009480337078651686,0.0014771048744460858,-0.025806451612903226,0.0035787562200787592,0.01009557140934177,-0.003043676761527753,0.0,0.0,-0.01707317073170732,NA,0.013966480446927373,0.059880239520958084,-0.001477832512315271,-0.05037144410219243,-0.0007434944237918215,0.014598540145985401,0.008171603677221626,-0.014556962025316408,-0.0004336513443191674,0.010951403148528405,-0.02840847950069945,-0.007359705611775529,0.0,-0.01714961561206387,NA,-0.008928571428571428,-0.0023350319293039355,0.002288329519450801,NA,-0.02096177558569667,-0.0085995085995086,0.00688298918387414,-0.01642710472279261,0.006629270780214177,-0.0036069515794075854,0.01613770844540075,0.01334981458590853,0.012060301507537688,-0.004581318401628913,NA,0.005607476635513965,0.006603773584905661,0.0007137758743754461,-0.0030511060259344014,-0.01043382756727073,0.0194916575705598,0.006539235412474849,-0.06857727737973388,0.006420233463035019,-0.020895522388059785,0.06043956043956035,-0.0012462353307715565,0.0,0.021186950764415444,0.01859504132231405,0.00125344697919278,-0.01020656136087482,0.005909167651527943,-0.008295625942684766,NA,-0.03362068965517241,0.0,0.02307785740313373,0.0022413793103448275,0.0,-0.00898069151324652,0.007328833172613307,0.009931245225362872,-0.010584677419354838,0.014309530425118185
2,0.010224948875255624,-0.019312120654772853,0.00020491803278688525,-0.03017763463577562,-0.004322967508018407,-0.008600739486261024,-0.013780144065142498,0.01623815967523665,-0.025595397254211408,-0.0025059801799748624,-0.01273595633386392,-0.04022346368715088,-0.007003891050583658,0.016121602947950252,-0.021383647798742137,-0.022127659574468085,NA,-0.01671583087512291,-0.0423981450811527,0.01773049645390071,-0.009565857247976454,0.0037593984962406013,-0.018584070796460177,-0.041105598866052445,0.0018796992481203006,-0.0074367873078829945,-0.0016124697661918839,-0.040204865556978206,-0.01917113053284466,-0.029994863893168976,0.0,0.0008045052292839903,-0.0003194888178913738,-0.04765751211631664,-0.01636568848758465,0.02745098039215679,-0.013496415014761703,-0.01550202718817076,-0.010509296685529483,-0.03012598137666606,0.03455453788509576,-0.008451656524678837,-0.018844878729715582,-0.003618272274988693,-0.017662450937636284,0.026490066225165563,-0.014047762392133253,0.0,0.004134929270946681,-0.019187719859290055,-0.0053685432385374345,-0.010543840177580466,-0.003988397389412618,-0.002938706968933669,0.004646541395131287,-0.004869565217391304,0.005162241887905605,0.007012076353720296,-0.012226170887377298,-0.008795309168443528,-0.007327125629674919,-0.02408429503261415,0.0,-0.03722084367245657,NA,-0.0035419126328217238,0.07658505963590709,-0.030587074494326592,0.017744705208929592,-0.005952380952380952,-0.019393181107288084,-0.010131712259371834,-0.013273388995932445,0.013015184381778741,0.0013540961408259986,-0.01772067781592646,-0.03985171455050973,0.06375442739079103,-0.021359807460890494,NA,-0.03333333333333333,-0.002094809527504079,-0.010273972602739725,NA,-0.002938706968933669,-0.011152416356877323,-0.00927734375,-0.02348643006263048,-0.0005065856129685917,-0.007020623080298377,-0.004235044997353097,0.009026591851671139,0.0021102284011916585,0.016364101252876503,NA,-0.036245353159851224,0.023430178069353328,0.006419400855920114,-0.00612088752869166,-0.009433962264150943,0.002294279596206791,-0.010494752623688156,-0.04945054945054945,-0.02203750241639281,-0.0518292682926828,0.0632864544781644,-0.0003119475928044798,-0.009536784741144414,-0.021808322527407758,-0.02231237322515213,-0.012769153730595895,-0.024060888779769238,-0.01040617656931845,-0.01596958174904943,NA,0.014451382694023233,0.0010511624933858571,-0.005342514543511813,-0.009289523481851024,0.0045662100456621,-0.0018124150430448573,-0.0026804518475971664,-0.014372163388804841,-0.011377143827474954,-0.024791124503492704
3,0.0,-0.0172543135783946,0.01946322474902684,0.006301953236968132,0.008123249299719889,0.0017350707890995114,-0.0022229279136233727,0.03728362183755009,-0.019325454275918405,-0.014731072285029222,-0.018083390923750338,-0.004268529297632774,-0.007836990595611285,-0.010275007555152614,-0.016709511568123392,0.010443864229765013,NA,-0.0003,-0.020062262193012798,0.011033681765389082,-0.00724368499257058,0.004244694132334553,0.002705139765554554,0.016260162601626018,-0.019699812382739212,-0.0014985014985014985,-0.005383580080753701,-0.027347918890074707,0.01954584650761713,-0.004765434713544425,0.04375,0.012057877813504822,-0.00047938638542665386,-0.030534351145038167,-0.029259896729776247,0.08142493638676852,-0.012398460880718255,-0.021560077519379845,-0.008578431372549112,-0.00338855421686747,-0.016498993963782696,-0.0008523695874531196,-0.006935799395340565,0.0005674080798910577,-0.021309655937846835,0.020967741935483872,0.006716873600651333,-0.01563497650660603,-0.006718682271348071,-0.0035865666775350504,-0.005397520058351568,-0.0089736399326977,-0.02038587550054605,0.003789473684210526,0.01186805515155053,-0.0020971688220901784,-0.003668378576669112,-0.02127659574468085,-0.02784943218690633,-0.013713363807475037,0.020913424573273866,-0.0010282776349614395,-0.01500441306266549,0.010309278350515464,NA,-0.01382306477093207,0.02040816326530612,-0.008142493638676845,-0.05399325084364454,0.009730538922155689,-0.0009569377990430622,0.0015353121801432086,0.0004339336081580505,0.007280513918629551,0.0,-0.005186605028751832,0.004826254826254826,0.0,-0.00522594528127882,NA,-0.001863932898415657,-0.01532939408075473,-0.012110726643598616,NA,-0.04842105263157895,0.03884711779448621,-0.01330704780680138,0.012292891501870658,-0.012164216928535226,-0.012814847547503314,0.006911217437533227,-0.020309477756286266,-0.012263099219620958,0.003522012578616352,NA,0.0019286403085824768,0.018315018315018316,0.0007087172218284905,0.003849114703618168,0.005042016806722689,0.0004578055852281398,0.004545454545454545,-0.046242774566473986,-0.006720695789681755,-0.00964630225080388,0.020710059171597593,-0.011337632619097126,-0.008253094910591471,-0.03060978549047961,-0.013831258644536652,0.000760841998478316,0.009308176100628902,-0.01136363636363644,-0.0061823802163833074,NA,0.0005276116778050555,-0.016063060282593414,0.0025065648126044674,-0.00468831394339295,0.02090909090909091,-0.011348161597821153,-0.019005567287387216,-0.013046815042210284,-0.022672621092408106,-0.020365168539325844
4,0.0020242914979757085,-0.013740458015267175,0.029139871382636656,0.010962404730029443,0.004723534315087524,-0.011267354135975976,0.010821133036282623,0.012836970474967907,0.0015406090390973652,0.0027816411682893964,0.0003519061583577179,-0.028448947778643846,-0.011848341232227487,-0.01282442748091603,0.00849673202614379,0.002583979328165375,NA,0.0023006902070621185,-0.020472996823155665,-0.019529006318207927,0.005238540692235735,-0.007210343112879108,0.01618705035971223,-0.022545454545454546,0.02200956937799043,0.0015007503751875938,-0.0008119079837618403,-0.009189411603346654,0.000563856780377784,-0.026920621408810384,0.009580838323353293,-0.00031771247021452817,0.00671462829736211,-0.01399825021872266,0.018912529550827423,-0.07294117647058827,0.020346320346320345,0.01733102253032929,-0.005768438401318407,0.007555723460521345,-0.00900163666121113,0.02798157311039072,0.007879656160458453,0.001701258931609391,0.014742572011794058,-0.011058451816745656,0.001819652244237768,-0.013687922030402852,0.0039275583678813,0.00981675392670157,0.025814021707245526,-0.003395585738539898,-0.0033444816053511705,0.010067114093959731,-0.0030759500948657308,0.005604203152364273,-0.012518409425625921,-0.026877470355731226,0.05941645807150041,0.00886041439476554,0.008736255460159636,-0.001544004117344313,-0.008363201911589008,-0.002551020408163265,NA,-0.004805766920304365,-0.045142857142857144,-0.006670087224217547,-0.005747126436781609,-0.006671608598962194,-0.002554278416347382,0.0005109862033726251,0.006939926263283428,0.007227891156462585,0.0,0.009973931769239488,-0.011527377521613832,0.0014428412874583796,0.011124845488257108,NA,-0.0009337068160597573,0.012054376291305279,0.008756567425569177,NA,-0.034513274336283185,0.007478890229191798,0.005494505494505495,0.011087645195353749,-0.009748589020010261,-0.003692927484333035,0.01689545934530095,-0.004935834155972359,0.005392525708552797,0.001002757583354224,NA,0.010587102983638057,-0.0017985611510791368,0.017705382436260624,0.007668711656441718,0.011148272017837236,0.006253813300793167,-0.004524886877828055,-0.0048484848484848485,-0.01771144278606965,-0.019480519480519525,-0.04978687127024731,0.0010520778537611783,0.046463245492371706,0.003853804077573375,-0.0070126227208976155,0.0030410542321338066,0.00872382851445663,-0.0051466803911477095,0.0038880248833592537,NA,-0.002812445069432278,-0.012420635922137673,0.016430527443743386,-0.025994417306350315,0.0,0.028925619834710745,-0.023287671232876714,0.027216174183514776,-0.009138840070298769,0.010465949820788465
5,0.025951825951825953,0.017608359133126934,0.035539933606717436,0.002708870847639104,0.0005530973451327434,0.021915606404016488,0.018891687657430732,0.05196451204055759,0.008301353586281207,-0.005663430420712079,0.019113508442776816,0.0377055756117127,0.0,-0.016702752861119705,0.014257939079714841,0.01804123711340206,NA,0.001996007984031936,-0.012972972972972972,0.03016988869361453,0.008189093616229295,0.002003506135737569,0.008849557522123894,0.026785714285714284,0.019662921348314606,0.0004995004995004995,0.026814734561213433,0.01924141749723142,-0.00507185122569738,0.047020229633679606,0.005634638196915777,0.0,0.024932507543274574,0.07542147293700088,0.004060324825986079,-0.024111675126903445,0.007636826474331778,0.010464833292771964,-0.014919187733112401,0.0140607424071991,-0.013212221304706853,0.014439834024896266,0.005863539445628998,0.007699275362318841,0.022239606616003577,-0.00878594249201278,-0.0018163471241170535,0.008324480492836323,0.0013040643338404696,0.013609850939727802,0.0164426651415499,0.019307211811470756,0.02982848620432513,0.020764119601328904,0.04342685775253036,-0.01079763148728666,0.011185682326621925,-0.03330625507717303,-0.006009043425782794,0.01324145385758675,0.011647006122144261,-0.003092783505154639,0.023493975903614458,0.03239556692242114,NA,0.02535211267605634,-0.03291442250149611,0.0008608815426997245,-0.004185768387482559,-0.011194029850746268,0.01824583866837388,0.018896833503575017,0.0015076459185870959,0.011397214014352047,0.010818120351588911,0.06531253506901583,0.012633624878522837,0.006538845173445639,0.014364303178484108,NA,-0.008411214953271028,0.006072427020349877,0.0028935185185185184,NA,-0.007791017415215398,0.01293103448275862,0.004470938897168405,0.02454308093994778,0.016580310880829015,0.008761091766820174,0.005192107995846314,0.026785714285714284,0.03380316826743171,-0.013273228149261207,NA,0.02190476190476188,0.0009009009009009009,0.0055671537926235215,0.02207001522070015,0.008269018743109152,0.01637107776261937,0.017676767676767676,-0.025578562728380026,-0.002025931928687196,0.036423841059602696,-0.01381661582630528,0.009879138202837602,0.0636182902584493,0.01374613003095978,0.012005649717514125,0.01414855987872663,0.008771929824561433,0.010863942058975803,0.004647560030983733,NA,-0.0029966508020446534,0.010061478701499711,0.008551013236499887,0.011463370947519255,0.0,0.025881302989736725,0.019835704267681827,0.002271006813020439,-0.004256828662646328,0.010641316685584564
1,0.057255377158436836,-0.013500665525765355,0.015085800490288516,-0.004247017453716312,-0.0020729684908789387,-0.0042944243173987165,-0.001854140914709518,0.024096385542168676,-0.008233008471877305,0.017784493781239183,0.004257277643539215,-0.0027058368766911044,0.008792965627498001,0.0023592324630386913,-0.016613418530351438,0.0,NA,0.00199203187250996,-0.01715954728002921,0.025305658231447255,-0.017168174266199,-0.019495126218445416,0.010526315789473684,-0.010869565217391304,0.027548209366391185,0.000998502246630055,-0.0005275652862041678,-0.011680021730272864,0.0016992353440951572,-0.01723237597911227,0.0468888233559422,0.0019068806610520348,0.014099783080260303,-0.018976897689768978,0.0,0.03250975292587776,0.0004210526315789474,-0.0024084778420038534,-0.009255363904080726,-0.01035311517840636,0.016736401673640166,-0.0029450261780104713,-0.0067125949478890655,0.01101123595505618,-0.013447031813709412,-0.011281224818694601,-0.0008087343307723412,-0.0066057193823513775,0.008031256783156067,0.004475703324808184,0.0054860036573357715,-0.00947075208913649,0.012309920347574221,0.022782750203417412,-0.02080972778775744,-0.0035211267605633804,0.0022123893805309734,-0.018067226890756304,0.02956248962623869,0.0001333511134818279,-0.005756457564575654,0.004136504653567736,0.007651559741024131,-0.008257638315441783,NA,0.030612244897959183,0.024752475247524754,-0.01049372097023912,-0.026821457165732587,0.0060377358490566035,0.001886199308393587,0.021303258145363407,0.00967741935483871,-0.00041736227045075126,0.018060200668896322,0.007163172864215738,-0.0009596928982725527,0.0,-0.0027116601385959627,NA,0.005655042412818096,-0.0034508607765083915,0.005770340450086555,NA,0.007852193995381063,-0.010401891252955082,0.004451038575667656,-0.013251783893985729,0.0127420998980632,0.010911925175370226,0.018078512396694214,0.06280193236714976,0.00048262548262548264,0.013959390862944163,NA,-0.011183597390493969,0.004500450045004501,0.0,-0.0007446016381236039,-0.008747949699289229,-0.0028337061894108872,0.01588089330024814,-0.0175,-0.006293138449045879,0.0,0.00855167394468692,0.003226142158393197,-0.0012461059190031153,-0.000610798924993892,0.03838101884159107,0.0,-0.013839559093692534,0.0066530194472875755,0.013107170393215111,NA,0.003359264497878319,-0.011739532731899151,0.0029036004645760743,-0.0024791924915884543,0.0,-0.024793388429752067,0.039096267190569745,-0.008308157099697885,-0.0003562522265764161,0.0
2,-0.011461318051575931,0.020046260601387818,0.030094742708526842,-0.008917269348297532,0.0,0.0043129459373115325,0.006191950464396285,0.023529411764705882,0.001538239213860198,0.09205116491548655,0.026924839596700275,-0.03527131782945734,-0.003169572107765452,0.0021967676133689,-0.005847953216374269,0.002531645569620253,NA,0.010934393638170975,-0.02600297176820208,0.009428729894620078,0.00845229151014275,0.004588325261279662,0.03211805555555555,-0.030036630036630037,-0.012511170688114389,0.008977556109725686,0.018474531538664556,-0.010718702762127344,0.009047215154085382,-0.024442082890541977,0.028450704225352112,0.010309278350515464,0.0055003819709702065,-0.015138772077375946,0.006932409012131715,-0.011335012594458509,0.017676767676767676,-0.007001448575567359,-0.025053078556263295,-0.00859331216140482,0.00205761316872428,-0.0031178208073514933,0.009959096567668505,0.0072238275172260506,-0.012632978723404254,-0.04645476772616137,-0.003642250101173614,0.009421733396930481,0.030146425495262703,0.009866327180140038,-0.0005595970900951316,-0.003374578177727784,0.001430615164520744,-0.014319809069212411,-0.032230751862723006,0.012014134275618375,0.0007358351729212656,-0.02267864783910997,-0.002857142857142857,0.011333333333333334,-0.023010688836104472,0.0020597322348094747,0.02219626168224299,-0.00749375520399667,0.0648054125831589,0.020944402132520943,-0.016304347826086956,0.0017385257301808068,-0.0034965034965034965,-0.01350337584396099,0.00031377470975839345,0.00245398773006135,-0.028115015974440872,-0.0012526096033402922,0.011826544021024968,0.009517832862671268,-0.0067243035542747355,0.0,0.002719033232628399,NA,-0.005623242736644799,0.014966603981583657,0.0005737234652897303,NA,-0.0018331805682859762,0.021739130434782608,0.014771048744460856,-0.01859504132231405,-0.01509813789632612,0.02489260931820685,-0.0015220700152207,0.022727272727272728,0.005426917510853835,0.006758448060075094,NA,0.0028275212064091553,0.007168458781362007,0.004844290657439446,0.0029806259314456036,0.009376723662437948,-0.003440023930601256,0.0029311187103077674,-0.039440203562340966,0.018590398365679266,-0.006389776357827453,0.006133862529316419,-0.001659751037344422,0.01684341859014348,0.002444688913335778,0.008736559139784945,0.008719481813652218,0.0037257824143070045,0.004236570072869005,0.0106544901065449,NA,0.005110132158590268,0.0007204927146118317,0.0008106543138390799,-0.009941416651872892,0.0,0.006690454950936664,0.0020797882397428627,0.0007616146230007616,0.005523877405559516,0.0008423417099537032
3,0.00014492753623188405,0.0007558578987150416,0.03624887285843102,0.003908951132009521,0.009416978257859022,0.015436953256163318,0.0012307692307692308,-0.009195402298850542,0.02301891148348385,-0.011713030746705757,0.022983376101751673,0.024507834471675347,0.009538950715421303,-0.024424612494128698,0.00784313725490196,0.022727272727272728,NA,0.02654867256637168,-0.05034324942791762,0.022252747252747253,0.027379400260756193,-0.010403450900786659,0.005046257359125316,0.02039274924471299,0.027149321266968326,0.01828966880869995,0.01632547292044571,-0.019308237255174297,0.009806668534603531,0.013071895424836602,-0.0002738975623116954,-0.01098901098901099,-0.004102719951375171,0.030742954739538857,0.0,-0.03439490445859876,-0.00041356492969396195,0.020423048869438368,-0.006968641114982554,0.01790088562276239,-0.005749486652977412,-0.012016460905349795,0.004050008804366966,-0.004965243296921549,0.007856341189674524,0.017094017094017096,0.003249390739236393,0.014281425807742798,0.010660535117056856,0.021745981720768987,-0.011058230683090706,0.01580135440180587,-0.0007142857142857143,0.010492332526230832,-0.027909011373578284,0.008729050279329608,0.011029411764705883,-0.03590192644483362,0.007879656160458453,-0.0005273566249175706,0.026591703388542772,-0.005652620760534429,0.001142857142857143,0.02181208053691275,-0.048665294215884766,-0.004102946661693398,0.008594229588704727,0.016660881638320028,0.034055727554179564,0.01749049429657795,-0.00878293601003764,-0.0014687882496940581,0.007889546351084738,-0.001254180602006689,0.007142857142857143,-0.01699129714048902,0.009671179883945842,0.0,0.012955709551069599,NA,0.024505183788878417,0.04349659464087193,0.007454128440366973,NA,-0.015151515151515152,0.014729950900163666,0.022804463852498787,0.023157894736842106,0.011752682677567705,0.03449758194519076,0.013719512195121951,0.003777777777777778,0.027467914117788175,0.020387866732968673,NA,0.03947368421052621,-0.010676156583629894,-0.0013774104683195593,0.023031203566121844,-0.001639344262295082,0.005553054179798889,0.00438382854359474,-0.07218543046357616,0.0152426795026073,0.01929260450160765,0.06957145418683872,0.01236492103075642,0.03803680981595092,0.035605413973905535,0.0006662225183211193,0.01506544825882934,0.0063103192279137695,0.005062436719541006,0.0007530120481927711,NA,-0.015077138849929915,0.006834270761381552,0.0,0.020261789492558722,0.0,0.0101905183872397,0.027358490566037737,0.0,0.02427786638312954,0.011502314490110879
4,-0.051007100420228955,-0.023225075528700907,0.01427079707622694,0.002341910885833767,-0.001509123336534504,-0.010137751594629246,0.003073140749846343,-0.01392111368909516,0.005099466232882932,0.001269841269841318,-0.009270367542807285,-0.0027450980392156417,0.005511811023622047,0.02904830685283261,-0.011673151750972763,-0.015637860082304528,NA,0.0038314176245210726,-0.04457831325301205,-0.027680730986294005,-0.011965192168237854,-0.015897435897435867,-0.002510460251046025,-0.008882309400444115,-0.014977973568281937,-0.0048543689320388345,-0.004334523202447731,-0.03526912181303113,0.026637069922308545,0.01,0.0,-0.0025396825396825757,0.0003051571559353067,-0.04308202154101077,-0.01721170395869191,-0.02242744063324542,-0.019031857674803476,0.0019061234214915416,-0.04956140350877198,-0.01554979637171418,0.019413465510119784,-0.005498167277574142,-0.005962820063135742,-0.00011088933244621867,0.004677060133630289,0.015966386554621848,0.007692307692307693,-0.009207850788970285,0.007445708376421924,0.020357803824799507,-0.002264685067232838,-0.017777777777777778,0.0014295925661186562,-0.02356230031948882,-0.016470164701647045,-0.006576670128071997,0.0036363636363636364,0.007720254314259764,-0.00923951670220327,-0.0011871784724970021,-0.010065127294257058,0.0,0.0025684931506849314,-0.004105090311986864,-0.03846122295631164,-0.0003745318352059925,-0.0426049908703591,-0.01587572550358484,-0.01976047904191617,0.0,0.003481012658227848,0.0039225300318706125,0.0032615786040443577,-0.011301799916282964,-0.04577691811734365,-0.00990725126475548,0.0210727969348659,0.0,-0.011600237953599048,NA,-0.0009199632014719411,0.015184355215948443,-0.013659647125782584,NA,-0.033566433566433566,0.0032258064516129032,-0.009487666034155597,0.00102880658436214,-0.00404040404040404,-0.010076875129856638,-0.02305764411027569,-0.044277175116227585,-0.02661685734298389,-0.024853801169590642,NA,-0.014466546112115682,-0.022482014388489208,0.000689655172413793,0.006535947712418301,-0.0038314176245210726,-0.04283582089552239,-0.01842870999030068,-0.04068522483940043,0.012445673646779929,-0.028391167192428977,-0.043084660519698316,0.004413425023093573,0.0076832151300236405,0.025550453314494345,0.0019973368841544607,-0.00048661800486618007,-0.020779540145087885,0.002182672934855531,-0.029345372460496615,NA,-0.0005339978640084631,-0.02250890228718897,0.018977088636889582,-0.0035149384885764497,0.0,-0.021052631578947368,-0.028282828282828285,-0.00837138508371385,0.005017301038062283,0.018998751906808945
5,-0.010535959688502062,-0.006572588439976802,-0.02196293754289636,0.049764537057622786,0.03751030502885408,-0.0034109290386102062,-0.011029411764705883,0.012941176470588168,0.01313458899837841,0.005178609173536226,-0.012219286657859998,0.017695635076681083,0.010180109631949883,-0.012632563942607611,-0.0006561679790026247,0.01254180602006689,NA,-0.0009541984732824427,0.003362757461118117,-0.009950248756218905,-0.0031192660550458714,-0.033350703491401804,-0.018456375838926176,0.017923823749066467,0.005366726296958855,0.005853658536585366,-0.011523687580025609,-0.013801203934811301,-0.006756756756756757,0.01745981049717875,0.0,-0.00843411839592609,-0.004575960951799878,0.02683982683982684,-0.015178050204319907,-0.049932523616734,-0.01433994095318431,0.0038049940546967895,-0.16474388555606825,-0.0069575028206092515,0.0008103727714748784,-0.012397386496900654,0.02240649258997883,0.008095819008539425,0.0047661272445134115,0.014061207609594707,0.006830052229811169,-0.013115896732366026,0.006980086224594539,0.0250906892382104,0.0065257483330968934,0.0016968325791855204,-0.009279086366880799,0.00245398773006135,0.0334919472913617,0.0003484320557491289,-0.0007246376811594203,-0.03740423614240649,0.011477761836441894,0.0030375066032751643,0.014503588516746395,0.0,0.0,-0.01483924154987634,-0.10666632541632551,-0.005994754589733983,-0.013986013986013986,-0.006418039895923678,-0.09875789045001018,0.0,-0.009776095868811101,-0.0014652014652015207,0.005635023840485529,-0.013547840812870448,0.0,-0.018948264849904195,0.0150093808630394,-0.020039638846069147,-0.0003009328919650918,NA,-0.017495395948434623,-0.0013871633113397312,-0.003462204270051933,NA,0.00482392667631452,-0.0011483693155718878,-0.011494252873563218,-0.017985611510791366,0.009634888438133874,0.00104942806170637,0.001026167265264238,0.002779708130646282,-0.03130247061645478,-0.009745127436281859,NA,-0.005504587155963251,-0.012879484820607176,-0.01791867677463818,-0.011544011544011544,-0.016483516483516484,-0.019179791049430843,0.0014822134387351778,0.04017857142857143,-0.01151219512195122,0.0032467532467531776,0.05903994393833225,-0.0033721643163703947,-0.00997067448680352,0.004592422502870264,0.003986710963455149,-0.037244401168451804,0.00991963837267702,-0.005528564248617783,0.040310077519379844,NA,-0.006589492430988505,-0.01936945300605307,0.007154213036565926,-0.007760141093474427,0.0,0.014336917562724014,-0.006237006237006237,-0.003837298541826554,-0.004131520055086934,-0.030212302667392398
