Pq,Pr,Ps,Pt,E(QS) - desc,E(QS),E(QT) - desc,E(QT),E(RS) - desc,E(RS),E(RT) - desc,E(RT),E(QS) + E(RS) + E(RT) - E(QT)
1,1,1,1,'-23.0/23,-1.0,'-25.0/25,-1.0,'-26.0/26,-1.0,'-26.0/26,-1.0,-2.0
1,1,1,2,'-23.0/23,-1.0,'-5.0/31,-0.16129032258064516,'-30.0/30,-1.0,'-14.0/16,-0.875,-2.713709677419355
1,1,1,3,'-24.0/24,-1.0,'8.0/26,0.3076923076923077,'-24.0/24,-1.0,'14.0/26,0.5384615384615384,-1.7692307692307694
1,1,1,4,'-29.0/29,-1.0,'19.0/19,1.0,'-27.0/27,-1.0,'25.0/25,1.0,-2.0
1,1,1,5,'-27.0/27,-1.0,'20.0/34,0.5882352941176471,'-21.0/21,-1.0,'12.0/18,0.6666666666666666,-1.9215686274509807
1,1,1,6,'-21.0/21,-1.0,'-10.0/30,-0.3333333333333333,'-30.0/30,-1.0,'-5.0/19,-0.2631578947368421,-1.9298245614035088
1,1,2,1,'-10.0/24,-0.4166666666666667,'-22.0/22,-1.0,'-6.0/30,-0.2,'-24.0/24,-1.0,-0.6166666666666667
1,1,2,2,'-12.0/24,-0.5,'-16.0/28,-0.5714285714285714,'-4.0/20,-0.2,'-8.0/28,-0.2857142857142857,-0.41428571428571426
1,1,2,3,'-13.0/29,-0.4482758620689655,'18.0/30,0.6,'-7.0/21,-0.3333333333333333,'6.0/20,0.3,-1.0816091954022988
1,1,2,4,'-13.0/17,-0.7647058823529411,'32.0/32,1.0,'-10.0/28,-0.35714285714285715,'23.0/23,1.0,-1.1218487394957983
1,1,2,5,'-7.0/27,-0.25925925925925924,'12.0/22,0.5454545454545454,'-12.0/22,-0.5454545454545454,'-5.0/29,-0.1724137931034483,-1.5225821432717983
1,1,2,6,'-8.0/22,-0.36363636363636365,'-9.0/29,-0.3103448275862069,'-10.0/28,-0.35714285714285715,'-7.0/21,-0.3333333333333333,-0.7437677265263472
1,1,3,1,'9.0/19,0.47368421052631576,'-24.0/24,-1.0,'13.0/23,0.5652173913043478,'-34.0/34,-1.0,1.0389016018306636
1,1,3,2,'-1.0/31,-0.03225806451612903,'-14.0/22,-0.6363636363636364,'12.0/22,0.5454545454545454,'-11.0/25,-0.44,0.7095601173020527
1,1,3,3,'11.0/31,0.3548387096774194,'6.0/28,0.21428571428571427,'9.0/25,0.36,'4.0/16,0.25,0.7505529953917051
1,1,3,4,'5.0/19,0.2631578947368421,'23.0/23,1.0,'7.0/33,0.21212121212121213,'25.0/25,1.0,0.4752791068580542
1,1,3,5,'5.0/27,0.18518518518518517,'-1.0/19,-0.05263157894736842,'8.0/28,0.2857142857142857,'10.0/26,0.38461538461538464,0.9081464344622239
1,1,3,6,'11.0/23,0.4782608695652174,'-15.0/25,-0.6,'1.0/25,0.04,'-17.0/27,-0.6296296296296297,0.48863123993558777
1,1,4,1,'27.0/27,1.0,'-22.0/22,-1.0,'31.0/31,1.0,'-20.0/20,-1.0,2.0
1,1,4,2,'23.0/23,1.0,'-11.0/29,-0.3793103448275862,'24.0/24,1.0,'-12.0/24,-0.5,1.8793103448275863
1,1,4,3,'30.0/30,1.0,'14.0/22,0.6363636363636364,'24.0/24,1.0,'6.0/24,0.25,1.6136363636363638
1,1,4,4,'31.0/31,1.0,'26.0/26,1.0,'19.0/19,1.0,'24.0/24,1.0,2.0
1,1,4,5,'25.0/25,1.0,'13.0/33,0.3939393939393939,'19.0/19,1.0,'7.0/23,0.30434782608695654,1.9104084321475625
1,1,4,6,'23.0/23,1.0,'-23.0/33,-0.696969696969697,'30.0/30,1.0,'-4.0/14,-0.2857142857142857,2.4112554112554117
1,1,5,1,'7.0/23,0.30434782608695654,'-33.0/33,-1.0,'12.0/20,0.6,'-24.0/24,-1.0,0.9043478260869565
1,1,5,2,'8.0/24,0.3333333333333333,'-13.0/27,-0.48148148148148145,'16.0/26,0.6153846153846154,'-7.0/23,-0.30434782608695654,1.1258516041124735
1,1,5,3,'8.0/24,0.3333333333333333,'13.0/25,0.52,'6.0/26,0.23076923076923078,'5.0/25,0.2,0.24410256410256403
1,1,5,4,'6.0/22,0.2727272727272727,'18.0/18,1.0,'5.0/23,0.21739130434782608,'37.0/37,1.0,0.49011857707509865
1,1,5,5,'19.0/25,0.76,'9.0/25,0.36,'7.0/15,0.4666666666666667,'13.0/35,0.37142857142857144,1.2380952380952381
1,1,5,6,'15.0/23,0.6521739130434783,'-15.0/39,-0.38461538461538464,'4.0/20,0.2,'-10.0/18,-0.5555555555555556,0.6812337421033072
1,1,6,1,'-13.0/35,-0.37142857142857144,'-24.0/24,-1.0,'6.0/18,0.3333333333333333,'-23.0/23,-1.0,-0.03809523809523818
1,1,6,2,'-17.0/35,-0.4857142857142857,'-3.0/17,-0.17647058823529413,'-6.0/28,-0.21428571428571427,'-8.0/20,-0.4,-0.9235294117647059
1,1,6,3,'-10.0/26,-0.38461538461538464,'13.0/25,0.52,'-10.0/26,-0.38461538461538464,'9.0/23,0.391304347826087,-0.8979264214046823
1,1,6,4,'-7.0/19,-0.3684210526315789,'32.0/32,1.0,'-10.0/30,-0.3333333333333333,'19.0/19,1.0,-0.7017543859649122
1,1,6,5,'-12.0/24,-0.5,'9.0/23,0.391304347826087,'-7.0/21,-0.3333333333333333,'10.0/32,0.3125,-0.9121376811594202
1,1,6,6,'-7.0/21,-0.3333333333333333,'-12.0/32,-0.375,'-4.0/24,-0.16666666666666666,'-5.0/23,-0.21739130434782608,-0.34239130434782605
1,2,1,1,'-21.0/21,-1.0,'-21.0/21,-1.0,'-14.0/26,-0.5384615384615384,'-10.0/32,-0.3125,-0.8509615384615383
1,2,1,2,'-22.0/22,-1.0,'-3.0/17,-0.17647058823529413,'-18.0/32,-0.5625,'-29.0/29,-1.0,-2.386029411764706
1,2,1,3,'-19.0/19,-1.0,'12.0/32,0.375,'0.0/22,0.0,'-9.0/27,-0.3333333333333333,-1.7083333333333333
1,2,1,4,'-19.0/19,-1.0,'30.0/30,1.0,'-9.0/25,-0.36,'14.0/26,0.5384615384615384,-1.8215384615384616
1,2,1,5,'-26.0/26,-1.0,'12.0/28,0.42857142857142855,'-9.0/25,-0.36,'21.0/21,1.0,-0.7885714285714285
1,2,1,6,'-20.0/20,-1.0,'-9.0/23,-0.391304347826087,'6.0/26,0.23076923076923078,'21.0/31,0.6774193548387096,0.29949293343402744
1,2,2,1,'4.0/28,0.14285714285714285,'-27.0/27,-1.0,'-18.0/18,-1.0,'-3.0/27,-0.1111111111111111,0.03174603174603163
1,2,2,2,'-6.0/24,-0.25,'-12.0/30,-0.4,'-19.0/19,-1.0,'-27.0/27,-1.0,-1.85
1,2,2,3,'-3.0/29,-0.10344827586206896,'7.0/23,0.30434782608695654,'-23.0/23,-1.0,'-17.0/25,-0.68,-2.0877961019490257
1,2,2,4,'-3.0/21,-0.14285714285714285,'29.0/29,1.0,'-25.0/25,-1.0,'9.0/25,0.36,-1.782857142857143
1,2,2,5,'-6.0/20,-0.3,'5.0/33,0.15151515151515152,'-22.0/22,-1.0,'25.0/25,1.0,-0.45151515151515154
1,2,2,6,'-8.0/28,-0.2857142857142857,'-14.0/24,-0.5833333333333334,'-19.0/19,-1.0,'15.0/29,0.5172413793103449,-0.18513957307060736
1,2,3,1,'8.0/28,0.2857142857142857,'-26.0/26,-1.0,'-4.0/26,-0.15384615384615385,'-2.0/20,-0.1,1.0318681318681318
