Name,Description,Founded,BizModel,Employees,Stage,Raised,Sectors
"0.10 of a Second","Smart Indicators for Connected Vehicles","2019","B2B","1-10","Bootstrapped","Undisclosed","Sensing ADAS Driver & Passenger Safety Autonomous & Connected Industrial Manufacturing Discrete Industries Smart Mobility Automotive +N Close"
"1-2 Trip Non-Active","Vacation Booking App","2016","B2C","1-10","Bootstrapped","Undisclosed","Recreational & Lifestyle Media & Entertainment Tech Travel Travel & Tourism Mobile Content Management System Consumers Content & Media Platforms & Interfaces Travellers & Tourists Content Discovery +N Close"
"10beats Non-Active","Online Marketplace for Music Professionals","2013","B2C","1-10","","Undisclosed","Web Online Platform & Carts Platforms & Interfaces Retail & Marketing Recreational & Lifestyle Consumers eCommerce & Sales Audio Media & Entertainment Tech Musicians Social Networks Content & Media +N Close"
"10bis Acquired","Online and Mobile Food Ordering","2000","B2B, B2B2C, B2C","51-200","Established","Undisclosed","Mobile Omni Channel Food Retail & Consumption Commerce & Retail Web Online Platform & Carts Retail & Marketing Home Restaurants eCommerce & Sales Direct-to-consumer Platforms & Interfaces Distribution Channels +N Close"
"12 Wizards Non-Active","Visual Creatives Solutions","2014","B2B","1-10","Bootstrapped","Undisclosed","Job Seekers Consumers Community Managers Media & Entertainment Tech Content & Media Social Networks Publishing Professionals & Gig Economy Web Freelancers Social Media Platforms & Interfaces Online Retailers Content Production Media & Entertainment +N Close"
"121 Mobile Non-Active","Customer Journey Tracking","2012","B2B","1-10","B","$4M","Advertising Tech Brick & Mortar Digital Asset Management Commerce & Retail Retail & Marketing eCommerce & Sales Marketing Automation & Lead Management Customer Service, Success, Experience Mobile Supply Chain Web Platforms & Interfaces Direct-to-consumer Distributor Distribution Channels Optimization, Personalization & Testing Mobile Advertising +N Close"
"12mass Non-Active","Helps Brands Talk on Social Networks","2011","B2B","11-50","Bootstrapped","Undisclosed","Retail & Marketing Media & Entertainment Tech Natural Language Processing Social Commerce Social Networks Artificial Intelligence Marketing & Sales Advertising Content & Media Social Media Marketing Enterprise & Professional Services +N Close"
"12trix","Math Lessons for Young Kids","2012","B2B, B2C","1-10","Revenue Financed","Undisclosed","Parents Learning Management Systems Platforms & Interfaces Content & Media Web Education Digital Learning Environment EdTech Children STEAM & Coding Consumers Mobile Pre-Kindergarten Demographics & Family +N Close"
"142 Non-Active","Meet with your Friends with a Single Tap","2015","B2C","1-10","Bootstrapped","Undisclosed","+N Close"
"1702ai","Real-time Weapon Detection for Security Cameras","2017","B2B, B2G","1-10","Pre-Seed","$100K","Law Enforcement  Civil Homeland Security  Artificial Intelligence Commerce & Retail Security Military Security Technologies Inspection & Screening Transportation & Logistics Defense Public Security Defense, Safety & Security Detection Systems Computer Vision +N Close"
"1Decision Non-Active","Proximity Bracelet for Child Safety","2014","B2B, B2B2C, B2C","1-10","Bootstrapped","Undisclosed","Consumers Personal Protection Sensing Children Communications Babies Radio Frequency Wearables Emergency Response Security Technologies Demographics & Family Semiconductors & Electronics +N Close"
"1E Therapeutics","Novel RNA-targeting Drugs","2021","B2B","51-200","Seed","$120M","Pharma & Biomedicine Healthcare & Life Sciences Life Sciences Pharmaceuticals Life Sciences & HealthTech Discovery & Development +N Close"
"1item Non-Active","Fashion Marketplace","2012","B2C","1-10","Revenue Financed","Undisclosed","Retail & Marketing Web Commerce & Retail Platforms & Interfaces eCommerce & Sales Apparel Online Platform & Carts Consumer Goods +N Close"
"1MRobotics","Fully Automated Dark Stores","2021","B2B","11-50","Seed","$8.5M","Mobility Services Distribution Channels Industry 4.0 Computer Vision Warehousing Machinery & Robotics Consumer Goods Industrial Manufacturing Logistics Commerce & Retail Direct-to-consumer Smart Mobility Warehousing Transportation & Logistics Discrete Industries Industrial Technologies Packaging Last-mile Delivery Postal & Courier Artificial Intelligence +N Close"
"1net.me","Ecommerce and Marketing Solutions","2005","B2B, B2B2C","1-10","Revenue Financed","Undisclosed","Digital Asset Management Email Marketing Consumers Professionals & Gig Economy Web Enterprise & Professional Services SMBs & SMEs Mobile Online Retailers Website Owners Optimization, Personalization & Testing Retail & Marketing Marketing Automation & Lead Management Platforms & Interfaces Advertising Tech +N Close"
"1touch.io","Personal Data Flow Tracking and Data Cataloging","2017","B2B","51-200","A","$16.1M","Financial Services Security Technologies Financial Institutions Healthcare & Life Sciences Artificial Intelligence Healthcare Machine Learning Data Security Commerce & Retail Cyber Security +N Close"
