realm_id,conversion,num_days,num_users,data_queries,dashboard_queries,api_queries,is_advanced_demo,is_poc,does_it_have_both
2keys-corporation,0,2,1,122,45,28,1,0,0
aboitiz-power-corporation,0,9,2,4439,599,202,0,1,0
accenture-dod,0,4,1,294,235,36,0,1,0
access-bank-plc,0,10,11,1669,1310,192,1,0,0
advance-auto-parts-inc,0,22,10,4607,2351,272,1,0,0
advance-publications-inc,0,2,1,290,26,12,0,1,0
advanced-auto-parts-us,0,6,3,5671,437,112,0,1,0
agoda-2021,1,5,1,364,337,60,0,1,0
aig,0,1,1,8,51,10,1,0,0
air-franceklm,0,4,2,240,92,26,1,0,0
airtel-africa-plc,0,1,1,395,364,6,1,0,0
allianz-australia-limited,0,2,1,484,100,18,0,1,0
allianz-italy-new,0,1,1,32,23,2,0,1,0
amex-gbt,0,1,1,4,23,8,0,1,0
anheuser-busch-inbev-sanv,0,6,3,135,119,27,0,1,0
anthem-inc,0,5,1,246,474,52,0,1,0
atos-se,0,9,5,1992,716,84,0,1,0
attijarwafa-bank,0,3,2,196,97,44,1,0,0
banco-bpm-spa,0,6,2,787,260,21,0,1,0
banco-santander-sa,0,3,2,1739,290,90,1,0,0
basf-se,0,26,2,6164,1786,148,0,1,0
bidv,0,3,1,150,100,17,0,1,0
biogen-inc,0,15,2,1545,746,94,0,1,0
bip,0,2,1,180,46,6,0,1,0
bnp-paribas,0,2,1,86,0,4,0,1,0
booz-allen-hamilton-holding-corporation,0,2,1,122,91,26,0,1,0
boston-consulting,1,8,5,708,397,126,0,1,0
bp,1,17,7,3934,746,137,0,1,0
brookdale-senior-living,0,1,1,8,23,1,0,1,0
bullish-global,0,6,3,676,293,180,0,1,0
bureau-veritas-sa,0,1,1,4,23,2,1,0,0
carnival-corporation--plc,0,3,3,496,354,44,0,1,0
cc-industries,0,2,1,398,332,28,1,0,0
chubb-limited,0,10,2,960,300,57,0,1,0
citigroup,0,13,3,1674,580,333,1,1,1
collectivehealth-inc,0,10,3,1149,669,77,1,0,0
community-college-system-of-new-hampshire-new,0,1,1,124,84,18,1,0,0
credit-suisse-group-ag,0,2,5,699,147,81,0,1,0
ctbc-bank-philippines-corp,0,1,1,125,0,17,1,0,0
ctc-global,1,32,11,2890,1534,323,1,1,1
ctos-digital,0,14,3,4214,945,152,1,0,0
cyberrisk-alliance,0,1,1,18,23,8,0,1,0
datev-eg,0,5,2,478,115,34,1,0,0
db-regio,1,8,2,614,457,78,1,1,1
dekra,1,5,3,998,422,64,1,1,1
deloitte,0,12,8,583,685,88,0,1,0
deutz-ag,0,5,1,711,228,38,1,0,0
dorilton-capital-advisors-llc,0,3,1,208,110,20,0,1,0
dpg-media-group-nv,0,6,4,1548,539,76,0,1,0
dreambuilders-pro-inc,0,1,1,70,69,12,0,1,0
dxc-technology,0,8,2,492,187,28,0,1,0
eberspacher,0,14,3,2084,1050,168,1,0,0
elisa,0,12,7,2504,1220,222,1,1,1
embriq,0,1,2,128,180,24,0,1,0
enbw,0,2,2,8,46,4,1,0,0
envision-group,0,3,2,209,48,6,1,0,0
epam-systems-inc,0,9,4,2187,733,220,0,1,0
experimenta-ggmbh-,1,4,5,2676,903,172,0,1,0
faurecia-se,1,5,2,144,126,28,1,0,0
four-seeds,0,2,2,98,0,4,0,1,0
frasers-group,1,3,1,206,278,18,1,0,0
fujitsu-australia-ltd,0,3,1,262,69,24,1,0,0
genting-malaysia-berhad,0,3,1,340,145,26,0,1,0
globe-telecom,0,8,3,3268,498,67,0,1,0
gomez,0,5,2,300,40,33,0,1,0
grammer-ag,0,1,1,8,23,4,1,0,0
greater-manchester-mental-health-nhs-foundation-trust,0,8,4,1150,901,120,1,0,0
guccio-gucci,1,18,5,5262,1443,393,1,1,1
haier-europe,1,22,5,3057,934,175,1,1,1
hansen,0,1,1,112,51,8,1,0,0
harbour-energy-plc,0,34,4,6813,2595,414,1,0,0
hdfc-bank,0,16,2,1725,1480,74,1,0,0
hermes,1,16,6,4691,1042,220,1,1,1
highco,1,44,3,52779,3913,1472,1,0,0
